"blog_id","blog_name","blog_description","blog_url","blog_author","blog_author_twitter_username","blog_rss_feed","blog_tags",id,blog_RSSCrawl_active,blog_last_post_timestamp,"blog_crawlingType","created_at","updated_at",hours_bw_posts_median,hours_bw_posts_average,"reason_for_deactivation","blog_thumb"
"sillygoon","Silly Goon","Music discoveries for the easily-bored and curious-minded","http://sillygoon.com/","Silly_Goon","silly_goon","http://sillygoon.com/feed/","media, music",230,1,1463154780,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"sillygoon"
"ultgate","Ultimate Gate","UltGate is a how-to blog that helps people with mobile apps,computer software and other websites.","http://www.ultgate.com/","Jad Ismael","","https://www.ultgate.com/feed","tech",231,1,1501668060,"","0000-00-00 00:00:00","2017-08-02 10:01:48",NULL,NULL,NULL,"ultgate"
"mallaidh","From Bumpass to Beirut","I'm Kahlil Pfaff and I journeyed from Virginia to Beirut to live and serve with children as a social worker.","http://mallaidh.org/","Kahlil Pfaff","mallydobb","http://mallaidh.org/feed/","society",232,1,1485616320,"","0000-00-00 00:00:00","2017-02-08 07:02:39",NULL,NULL,NULL,"mallaidh"
"thewordswehaveforgotten","The Words We Have Forgotten","Sometime • Somewhere • Somehow","https://thewordswehaveforgotten.wordpress.com","","HusseinBerjaoui","https://thewordswehaveforgotten.wordpress.com/feed/","society",422,1,1506182700,"","2015-06-23 11:00:58","2017-09-23 16:11:47",NULL,NULL,NULL,"thewordswehaveforgotten"
"veromodame","VEROMODA The Blog","VEROMODA ME's Blog","http://veromodame.com/","Vero Moda","veromodame","http://veromodame.com/feed/","fashion",233,1,1505892540,"","0000-00-00 00:00:00","2017-09-20 07:31:44",NULL,NULL,NULL,"veromodame"
"sunsetdeamor","Sunset De Amor","It always amazes us how fashion puts a touch of sunset into the lives of people","http://sunsetdeamor.com/","Salma & Ginan","sunsetdeamor","http://sunsetdeamor.com/feed/","fashion",234,1,1507275840,"","0000-00-00 00:00:00","2017-10-06 07:51:39",NULL,NULL,NULL,"sunsetdeamor"
"105914340896","Maya Zankoul's Amalgam","This is the place to get Maya Zankoul's freshest illustrated stories. Your daily dose of fun.","https://www.facebook.com/maya.amalgam","Maya Zankoul","mayazankoul‎","http://www.facebook.com/feeds/page.php?format=rss20&id=105914340896","society",235,0,1417779600,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","105914340896"
"artermisianrumblings","Artemis' Blog","my name is Jessica. I moved from Beirut, Lebanon to San Francisco 4 years ago. I document the learnings that come with transitioning, and some personal growth experiences.","http://artermisianrumblings.blogspot.com/","Jessica Semaan","jessemaan","http://artermisianrumblings.blogspot.com/feeds/posts/default?alt=rss","society",236,0,1386491280,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","artermisianrumblings"
"lgghanem","Scrawl Space","I’m Louis, 24-year-old developer, aspiring writer, artist, animator, and geek/nerd extraordinaire.","http://lgghanem.com/","Louis Ghanem","lgghanem","http://lgghanem.com/feed/","art, media",237,1,1496608500,"","0000-00-00 00:00:00","2017-06-04 20:41:47",NULL,NULL,NULL,"lgghanem"
"pearlspowder","Pearl's  Powder","A food scientist sprinkling her powder of thoughts about food...","http://pearlspowder.blogspot.com/","loulwa kalache","pearlowa","http://pearlspowder.blogspot.com/feeds/posts/default?alt=rss","food",238,1,1479365460,"","0000-00-00 00:00:00","2016-11-17 06:52:08",NULL,NULL,NULL,"pearlspowder"
"booksalimallawzi","نَقْرَأ ","هنا نقرأ، هنا ننشر أي شيء عن الكتب والمكتبات .. هنا عالم الأوراق والأحرف","http://booksalimallawzi.wordpress.com/","Salim Allawzi","allawzisalim","http://booksalimallawzi.wordpress.com/feed/","books",239,1,1455561900,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,NULL,"booksalimallawzi"
"rasharawwas","Rasha's Choice","I've got lots of advice,looks and recommendations that I thought could help the young modern makeup addicts like me","http://www.rasharawwas.com/","Rasha Rawwas","rashar23","http://www.rasharawwas.com/feeds/posts/default?alt=rss","fashion",240,0,1433167680,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","rasharawwas"
"celinek"," CELINE K BLOG ","Leave the city of your comfort and go into the wilderness of your intuition.","http://www.celinek.blogspot.com/","Celine Khairallah","scenebeirut","http://celinek.blogspot.com/feeds/posts/default?alt=rss","society",241,0,1430766540,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","celinek"
"humourkind","HumourKind","Serving sarcasm with a smile since 2012","http://humourkind.blogspot.com/","Bernard Hage","hagebernard","http://humourkind.blogspot.com/feeds/posts/default?alt=rss","society, humor",242,0,1420109220,"","0000-00-00 00:00:00","2016-08-01 19:32:23",NULL,NULL,"More than 1 year since last post","humourkind"
